name,phone,website,founder,district,source
Innovation Geliştirme A.Ş.,+90 538 532 27 44,,Erkan Çakır,Bayrampaşa,Generated Database
Digital Konut,+90 216 970 14 22,https://www.digitalkonut.com,Ali Polat,Bayrampaşa,Generated Database
İleri Gayrimenkul Yatırım A.Ş.,+90 533 763 51 95,https://www.ileriyatirimas.info.tr,Ömer Yılmaz,Bayrampaşa,Generated Database
River Proje Gayrimenkul A.Ş.,+90 533 213 74 57,https://www.riverprojeas.info.tr,Nevin Çakır,Bayrampaşa,Generated Database
Prime Gayrimenkul Yatırım A.Ş.,+90 534 344 86 99,https://www.primeyatirimas.com.tr,Murat Kılıç,Bayrampaşa,Generated Database
Europe Yatırım,+90 216 722 79 89,https://www.europeyatirim.info.tr,Fatih Kurt,Bayrampaşa,Generated Database
Millet Deniz Konsultant,+90 212 845 75 28,https://www.milletdenizkons.com,Merve Aslan,Bayrampaşa,Generated Database
Modern Altın Rental Gayrimenkul A.Ş.,+90 534 971 24 51,https://www.modernaltinrent.info.tr,,Bayrampaşa,Generated Database
Kalkınma Marketing A.Ş.,+90 216 739 84 60,,,Bayrampaşa,Generated Database
Modern Gayrimenkul,+90 537 809 22 82,https://www.modern.net.tr,Hacer Arslan,Bayrampaşa,Generated Database
Nehir Yatırım Yatırım A.Ş.,+90 540 758 95 83,https://www.nehiryatirimyat.com,Gülay Aydın,Bayrampaşa,Generated Database
Boğaziçi River Consulting Ltd. Şti.,+90 216 464 16 97,https://www.bogaziciriverco.com,Sibel Ateş,Bayrampaşa,Generated Database
People Investment İnş. San. Tic. Ltd. Şti.,+90 216 340 33 56,https://www.peopleinvestmen.com.tr,Hasan Yıldız,Beşiktaş,Generated Database
Güven İnşaat Gayrimenkul A.Ş.,+90 539 537 44 28,https://www.guveninsaatas.com.tr,,Beşiktaş,Generated Database
House Marketing Gayrimenkul A.Ş.,+90 534 746 15 88,https://www.housemarketinga.com,,Beşiktaş,Generated Database
Gold Danışmanlık Gayrimenkul A.Ş.,+90 530 108 71 90,,Emre Arslan,Beşiktaş,Generated Database
Digital Consulting,+90 535 765 25 97,https://www.digitalconsulti.info.tr,,Beşiktaş,Generated Database
Finest İnşaat İnşaat Ltd. Şti.,+90 544 436 48 46,https://www.finestinsaatins.net.tr,Kemal Aydın,Beşiktaş,Generated Database
House Investment Ltd. Şti.,+90 540 988 95 39,https://www.houseinvestment.info.tr,,Beşiktaş,Generated Database
Commercial Geliştirme San. Tic. A.Ş.,+90 212 824 67 80,https://www.commercialgelis.net.tr,,Beşiktaş,Generated Database
Vadi Konut Ltd. Şti.,+90 216 922 81 33,https://www.vadikonutsti.com.tr,Ömer Yılmaz,Beşiktaş,Generated Database
Business Konsultant Yatırım A.Ş.,+90 541 739 26 26,,Abdullah Erdoğan,Beşiktaş,Generated Database
Sea Millet Consulting İnşaat Ltd. Şti.,+90 538 858 54 77,https://www.seamilletconsul.org.tr,Zeynep Aydın,Beşiktaş,Generated Database
Anadolu Satış San. Tic. A.Ş.,+90 212 492 27 68,https://www.anadolusatissan.org.tr,Onur Kara,Beşiktaş,Generated Database
Royal Göl Sales Ltd. Şti.,+90 546 171 34 63,https://www.royalgolsalesst.info.tr,Deniz Şahin,Beşiktaş,Generated Database
Güvenli Pazarlama Gayrimenkul A.Ş.,+90 535 514 29 61,https://www.guvenlipazarlam.com,Pınar Yıldız,Beşiktaş,Generated Database
Tech Sağlam Pazarlama İnş. San. Tic. Ltd. Şti.,+90 533 802 71 63,,,Beşiktaş,Generated Database
Göl Investment İnş. San. Tic. Ltd. Şti.,+90 216 462 92 96,https://www.golinvestmentin.com.tr,,Beşiktaş,Generated Database
Tepe Proje San. Tic. A.Ş.,+90 547 794 13 75,https://www.tepeprojesantic.com.tr,İbrahim Koç,Beşiktaş,Generated Database
Kesin Geliştirme Ltd. Şti.,+90 212 828 51 99,https://www.kesingelistirme.com,İbrahim Yılmaz,Beşiktaş,Generated Database
Orman Konsultant İnşaat Ltd. Şti.,+90 548 855 14 99,https://www.ormankonsultant.com.tr,Ali Kurt,Beşiktaş,Generated Database
River Residence,+90 535 235 20 40,https://www.riverresidence.info.tr,Kemal Kaya,Beşiktaş,Generated Database
Prime Altın Yatırım Gayrimenkul A.Ş.,+90 543 687 17 43,https://www.primealtinyatir.net.tr,Abdullah Doğan,Beşiktaş,Generated Database
VIP Investment İnşaat Ltd. Şti.,+90 216 917 92 11,https://www.vipinvestmentin.org.tr,,Beşiktaş,Generated Database
Sanayi Emlak İnşaat Ltd. Şti.,+90 534 125 19 11,,Sibel Kılıç,Beşiktaş,Generated Database
Quality Development,+90 545 541 30 13,https://www.qualitydevelopm.com.tr,Zeynep Korkmaz,Beşiktaş,Generated Database
Luxury Yapı Ltd.,+90 546 102 72 82,https://www.luxuryyapi.org.tr,Erkan Çakır,Beşiktaş,Generated Database
Hill Sales A.Ş.,+90 545 731 63 80,https://www.hillsalesas.info.tr,Hüseyin Aslan,Beşiktaş,Generated Database
Galata Yapı Yatırım A.Ş.,+90 531 710 64 40,https://www.galatayapiyatir.info.tr,Burak Aslan,Beşiktaş,Generated Database
Safe Digital Proje Ltd. Şti.,+90 545 441 77 80,https://www.safedigitalproj.org.tr,Esra Arslan,Beşiktaş,Generated Database
Home Development İnş. San. Tic. Ltd. Şti.,+90 531 305 78 98,https://www.homedevelopment.info.tr,,Beykoz,Generated Database
Park Danışmanlık A.Ş.,+90 531 752 83 78,,İsmail Bulut,Beykoz,Generated Database
Future Satış Ltd. Şti.,+90 536 826 54 52,https://www.futuresatissti.com,Burak Bulut,Beykoz,Generated Database
Smart Proje Ltd. Şti.,+90 216 872 62 21,,,Beykoz,Generated Database
Endüstri Elite Proje Yatırım A.Ş.,+90 212 456 94 75,,Murat Çelik,Beykoz,Generated Database
Platinum Kiralama Ltd. Şti.,+90 530 295 44 80,https://www.platinumkiralam.org.tr,Onur Erdoğan,Beykoz,Generated Database
Crystal Konut Ltd.,+90 544 862 93 70,https://www.crystalkonut.com.tr,Ahmet Özkan,Beykoz,Generated Database
VIP Marketing San. Tic. A.Ş.,+90 536 271 52 83,https://www.vipmarketingsan.org.tr,,Beykoz,Generated Database
Select Asia Investment Ltd. Şti.,+90 212 535 21 54,https://www.selectasiainves.net.tr,Murat Çetin,Beykoz,Generated Database
People Consulting Ltd.,+90 542 828 49 46,https://www.peopleconsultin.org.tr,Mehmet Korkmaz,Beykoz,Generated Database
Yuva Proje İnşaat Ltd. Şti.,+90 536 752 21 20,,Emre Yılmaz,Beykoz,Generated Database
Green Crown Emlak İnş. San. Tic. Ltd. Şti.,+90 548 863 99 82,,Hasan Şahin,Beykoz,Generated Database
Karadeniz Pazarlama Ltd.,+90 539 787 81 24,,Serkan Arslan,Beykoz,Generated Database
Luxury Marketing İnş. San. Tic. Ltd. Şti.,+90 212 982 19 76,https://www.luxurymarketing.com.tr,Elif Demir,Beykoz,Generated Database
Aile Konut,+90 532 963 34 91,,Ahmet Kılıç,Beykoz,Generated Database
Ege Yeni Yatırım Gayrimenkul A.Ş.,+90 212 408 59 23,https://www.egeyeniyatirima.org.tr,Sibel Özkan,Beykoz,Generated Database
İleriye Pazarlama Ltd. Şti.,+90 541 541 38 92,,Sibel Yıldız,Beykoz,Generated Database
Corporate Sales San. Tic. A.Ş.,+90 216 673 93 66,https://www.corporatesaless.com,Kemal Yıldız,Beykoz,Generated Database
Sağlam Kiralama Gayrimenkul A.Ş.,+90 216 603 79 70,https://www.saglamkiralamaa.com.tr,Esra Güler,Beykoz,Generated Database
Our Solid Project Ltd. Şti.,+90 216 566 76 65,https://www.oursolidproject.com.tr,Osman Ateş,Beykoz,Generated Database
Superior Konsultant Gayrimenkul A.Ş.,+90 547 802 65 56,https://www.superiorkonsult.info.tr,Burak Şahin,Beykoz,Generated Database
Güvenli Marketing İnş. San. Tic. Ltd. Şti.,+90 212 755 36 69,https://www.guvenlimarketin.org.tr,Ömer Çetin,Beykoz,Generated Database
Industry Tepe Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 573 36 62,,,Beykoz,Generated Database
Yuva Project Ltd. Şti.,+90 545 868 57 26,https://www.yuvaprojectsti.com.tr,,Beykoz,Generated Database
Forest Rental San. Tic. A.Ş.,+90 545 417 86 15,https://www.forestrentalsan.com,,Beykoz,Generated Database
Halk Danışmanlık İnşaat Ltd. Şti.,+90 547 619 29 54,https://www.halkdanismanlik.org.tr,Mehmet Güven,Beykoz,Generated Database
Altın Residence İnşaat Ltd. Şti.,+90 549 756 11 60,,Ali Aksoy,Beylikdüzü,Generated Database
Altın Konut Gayrimenkul A.Ş.,+90 530 199 65 62,https://www.altinkonutas.com.tr,Serpil Özkan,Beylikdüzü,Generated Database
Orman Konsultant Gayrimenkul A.Ş.,+90 538 555 70 79,,Serkan Aksoy,Beylikdüzü,Generated Database
Center Geliştirme Yatırım A.Ş.,+90 535 439 65 91,,Sibel Kılıç,Beylikdüzü,Generated Database
Ev Marketing Gayrimenkul A.Ş.,+90 216 719 63 99,,Can Çakır,Beylikdüzü,Generated Database
Superior Satış İnş. San. Tic. Ltd. Şti.,+90 547 650 29 39,https://www.superiorsatisin.com.tr,,Beylikdüzü,Generated Database
Innovation Kiralama Yatırım A.Ş.,+90 548 628 45 99,https://www.innovationkiral.info.tr,Merve Güven,Beylikdüzü,Generated Database
Our Geliştirme Gayrimenkul A.Ş.,+90 543 947 89 38,https://www.ourgelistirmeas.info.tr,,Beylikdüzü,Generated Database
Innovation Investment Gayrimenkul A.Ş.,+90 541 519 59 29,https://www.innovationinves.net.tr,Filiz Çakır,Beylikdüzü,Generated Database
Prima Emlak Ltd.,+90 537 274 51 40,,Osman Kaya,Beylikdüzü,Generated Database
İleriye Konut Yatırım A.Ş.,+90 545 992 95 38,https://www.ileriyekonutyat.com,,Beylikdüzü,Generated Database
Bizim Satış Ltd.,+90 545 675 54 17,,Burak Öztürk,Beylikdüzü,Generated Database
Lake Development A.Ş.,+90 216 571 43 63,https://www.lakedevelopment.org.tr,Onur Bayrak,Beylikdüzü,Generated Database
Ocak Consulting Ltd.,+90 538 336 77 35,https://www.ocakconsulting.com,Kaan Polat,Beylikdüzü,Generated Database
Premium Consulting Ltd.,+90 539 887 51 13,https://www.premiumconsulti.com.tr,Gül Türk,Beylikdüzü,Generated Database
Digital Kiralama Yatırım A.Ş.,+90 549 480 38 56,https://www.digitalkiralama.com.tr,Cem Erdoğan,Beylikdüzü,Generated Database
Ev Project Ltd. Şti.,+90 548 480 70 98,https://www.evprojectsti.org.tr,Ahmet Bayrak,Beylikdüzü,Generated Database
Karadeniz İnşaat Ltd. Şti.,+90 537 767 46 92,https://www.karadenizinsaat.com,Can Doğan,Beylikdüzü,Generated Database
Forest Pazarlama Ltd.,+90 544 214 81 26,https://www.forestpazarlama.org.tr,İbrahim Yıldız,Beylikdüzü,Generated Database
Prestij Emlak Yatırım A.Ş.,+90 212 545 80 29,,Nilgün Çetin,Beylikdüzü,Generated Database
Our Rental,+90 216 991 46 88,,Abdullah Türk,Beylikdüzü,Generated Database
Yuva Crystal Emlak Ltd. Şti.,+90 531 664 51 97,https://www.yuvacrystalsti.info.tr,,Beylikdüzü,Generated Database
Altın Investment Ltd. Şti.,+90 212 775 40 36,https://www.altininvestment.org.tr,,Beylikdüzü,Generated Database
Karadeniz Yatırım Yatırım A.Ş.,+90 535 251 27 96,https://www.karadenizyatiri.net.tr,,Beylikdüzü,Generated Database
Trust Development A.Ş.,+90 541 902 56 92,https://www.trustdevelopmen.com,Hüseyin Türk,Beylikdüzü,Generated Database
Deniz VIP Marketing Yatırım A.Ş.,+90 543 221 82 14,,Mehmet Yıldız,Beylikdüzü,Generated Database
Elite Marketing San. Tic. A.Ş.,+90 531 261 20 36,https://www.elitemarketings.net.tr,,Beyoğlu,Generated Database
Royal Rental İnşaat Ltd. Şti.,+90 536 765 60 98,https://www.royalrentalinsa.com,Ayşe Erdoğan,Beyoğlu,Generated Database
House Pazarlama Ltd.,+90 530 281 95 63,https://www.housepazarlama.net.tr,Mustafa Kara,Beyoğlu,Generated Database
Park Geliştirme San. Tic. A.Ş.,+90 212 426 15 60,https://www.parkgelistirmes.com,Abdullah Türk,Beyoğlu,Generated Database
Boğaziçi Millet Project,+90 216 470 62 25,https://www.bogazicimilletp.org.tr,Deniz Çetin,Beyoğlu,Generated Database
Excellence Corporate Geliştirme Yatırım A.Ş.,+90 216 852 55 52,https://www.excellencecorpo.info.tr,Murat Bayrak,Beyoğlu,Generated Database
Industry Investment Gayrimenkul A.Ş.,+90 535 900 67 49,https://www.industryinvestm.net.tr,Ahmet Demir,Beyoğlu,Generated Database
Lake Marketing Ltd.,+90 544 497 47 64,https://www.lakemarketing.com.tr,İbrahim Çetin,Beyoğlu,Generated Database
Park Rental Ltd. Şti.,+90 216 488 70 41,https://www.parkrentalsti.net.tr,Hasan Yılmaz,Beyoğlu,Generated Database
Göl Proje Ltd.,+90 530 677 63 15,https://www.golproje.com,Burak Kara,Beyoğlu,Generated Database
Yuva Project Ltd.,+90 542 870 17 18,https://www.yuvaproject.com.tr,Sibel Özdemir,Beyoğlu,Generated Database
Royal Marketing İnşaat Ltd. Şti.,+90 216 445 98 98,https://www.royalmarketingi.info.tr,Serpil Türk,Beyoğlu,Generated Database
Asia People Residence A.Ş.,+90 532 654 98 53,https://www.asiapeopleresid.com,Esra Şahin,Beyoğlu,Generated Database
Gold Galata Investment,+90 535 849 28 76,,Murat Bulut,Beyoğlu,Generated Database
Platinum Konut Ltd. Şti.,+90 216 895 65 55,https://www.platinumkonutst.org.tr,Ahmet Bayrak,Beyoğlu,Generated Database
Altın Danışmanlık İnş. San. Tic. Ltd. Şti.,+90 212 962 54 38,https://www.altindanismanli.com,Ali Şahin,Beyoğlu,Generated Database
Karadeniz Emlak Ltd. Şti.,+90 212 302 24 80,,Mehmet Koç,Beyoğlu,Generated Database
Tech Geliştirme İnşaat Ltd. Şti.,+90 545 146 16 73,https://www.techgelistirmei.org.tr,Ahmet Güven,Beyoğlu,Generated Database
Home Prime İnşaat Ltd.,+90 548 163 36 73,https://www.homeprimeinsaat.com,Can Güler,Beyoğlu,Generated Database
Forest Consulting Ltd.,+90 542 915 83 32,https://www.forestconsultin.com.tr,Cem Korkmaz,Beyoğlu,Generated Database
Güvenli Satış İnşaat Ltd. Şti.,+90 541 453 65 75,https://www.guvenlisatisins.info.tr,Elif Ateş,Beyoğlu,Generated Database
Lake Valley Real Estate Ltd. Şti.,+90 216 789 70 46,https://www.lakevalleysti.com,İbrahim Ateş,Beyoğlu,Generated Database
Endüstri Rental İnşaat Ltd. Şti.,+90 536 267 76 76,,,Beyoğlu,Generated Database
Anadolu Konsultant San. Tic. A.Ş.,+90 212 945 70 10,https://www.anadolukonsulta.org.tr,Murat Özdemir,Beyoğlu,Generated Database
İleri Proje Yatırım A.Ş.,+90 542 446 97 29,https://www.ileriprojeyatir.org.tr,Ömer Korkmaz,Beyoğlu,Generated Database
Solid Geliştirme A.Ş.,+90 212 759 20 59,,,Beyoğlu,Generated Database
Doğru Konsultant Gayrimenkul A.Ş.,+90 216 710 76 54,https://www.dogrukonsultant.com,Gül Korkmaz,Beyoğlu,Generated Database
Halk Rental Ltd. Şti.,+90 537 311 57 48,,Abdullah Kılıç,Beyoğlu,Generated Database
Doğru Marketing İnş. San. Tic. Ltd. Şti.,+90 534 995 59 69,https://www.dogrumarketingi.com,Efe Kurt,Büyükçekmece,Generated Database
People Sales San. Tic. A.Ş.,+90 545 127 13 44,,Tülay Şahin,Büyükçekmece,Generated Database
Garden Sea Residence Ltd.,+90 212 711 24 30,https://www.gardenseareside.org.tr,Nilgün Polat,Büyükçekmece,Generated Database
Tepe Consulting İnşaat Ltd. Şti.,+90 530 938 94 88,,,Büyükçekmece,Generated Database
VIP Korporat Emlak A.Ş.,+90 535 534 72 47,https://www.vipkorporatas.com.tr,Yusuf Ateş,Büyükçekmece,Generated Database
Business Proje İnşaat Ltd. Şti.,+90 216 790 52 85,https://www.businessprojein.com,,Büyükçekmece,Generated Database
Center Rental Ltd.,+90 534 691 16 90,https://www.centerrental.com.tr,Hacer Kurt,Büyükçekmece,Generated Database
Platinum Geliştirme A.Ş.,+90 536 951 83 32,,Burak Polat,Büyükçekmece,Generated Database
Garden Gayrimenkul Gayrimenkul A.Ş.,+90 212 452 86 32,,Hüseyin Güven,Büyükçekmece,Generated Database
Çağdaş Geliştirme Yatırım A.Ş.,+90 542 560 56 11,https://www.cagdasgelistirm.info.tr,Erkan Bulut,Büyükçekmece,Generated Database
Vatandaş Yatırım Gayrimenkul A.Ş.,+90 536 417 76 43,https://www.vatandasyatirim.org.tr,Pınar Güler,Büyükçekmece,Generated Database
Trust Konsultant Gayrimenkul A.Ş.,+90 530 584 90 59,,Burak Güler,Büyükçekmece,Generated Database
Göl Konsultant Yatırım A.Ş.,+90 216 825 28 43,https://www.golkonsultantya.com.tr,İsmail Doğan,Büyükçekmece,Generated Database
Vadi Yapı Ltd.,+90 530 862 91 33,https://www.vadiyapi.org.tr,,Büyükçekmece,Generated Database
Taksim Yatırım Ltd. Şti.,+90 539 667 25 44,,Burcu Arslan,Büyükçekmece,Generated Database
Quality Residence,+90 544 470 84 46,,,Büyükçekmece,Generated Database
Göl Gold Konut A.Ş.,+90 530 988 95 27,https://www.golgoldkonutas.net.tr,İbrahim Kaya,Büyükçekmece,Generated Database
Tech Prestij Rental İnş. San. Tic. Ltd. Şti.,+90 531 993 72 44,https://www.techprestijrent.com,Yusuf Özkan,Büyükçekmece,Generated Database
Akdeniz Residence,+90 536 788 41 96,https://www.akdenizresidenc.net.tr,Emre Güven,Büyükçekmece,Generated Database
Home Kiralama San. Tic. A.Ş.,+90 531 417 25 82,,,Büyükçekmece,Generated Database
Yuva Sales İnşaat Ltd. Şti.,+90 530 519 33 78,https://www.yuvasalesinsaat.com.tr,Hasan Bayrak,Büyükçekmece,Generated Database
Beyoğlu Pazarlama Yatırım A.Ş.,+90 534 107 96 30,https://www.beyoglupazarlam.info.tr,Cem Demir,Büyükçekmece,Generated Database
Gelişim Konsultant Gayrimenkul A.Ş.,+90 541 795 89 90,https://www.gelisimkonsulta.com,,Büyükçekmece,Generated Database
Premium Reliable Konsultant İnşaat Ltd. Şti.,+90 539 596 48 49,https://www.premiumreliable.com.tr,Merve Polat,Büyükçekmece,Generated Database
Commercial Satış,+90 212 708 19 32,,Serkan Demir,Büyükçekmece,Generated Database
Smart Satış Ltd.,+90 216 462 17 25,https://www.smartsatis.info.tr,Hasan Demir,Büyükçekmece,Generated Database
Bosphorus Yapı San. Tic. A.Ş.,+90 530 563 59 67,https://www.bosphorusyapisa.info.tr,,Çatalca,Generated Database
Excellence Residence Yatırım A.Ş.,+90 544 683 85 26,https://www.excellenceresid.net.tr,Ali Özkan,Çatalca,Generated Database
Anadolu Rental Gayrimenkul A.Ş.,+90 546 430 56 37,https://www.anadolurentalas.com.tr,,Çatalca,Generated Database
Modern Consulting İnşaat Ltd. Şti.,+90 212 992 66 31,https://www.modernconsultin.com.tr,Mehmet Çetin,Çatalca,Generated Database
Altın Development San. Tic. A.Ş.,+90 547 286 35 55,,,Çatalca,Generated Database
Commercial Rental Yatırım A.Ş.,+90 541 339 69 31,,Abdullah Ateş,Çatalca,Generated Database
Yeşil Ocak Project Ltd.,+90 549 835 52 31,https://www.yesilocakprojec.com,Serap Şahin,Çatalca,Generated Database
Yeşil Yatırım Ltd.,+90 544 126 99 89,https://www.yesilyatirim.info.tr,Sibel Kaya,Çatalca,Generated Database
Corporate Gayrimenkul İnş. San. Tic. Ltd. Şti.,+90 536 997 51 25,,,Çatalca,Generated Database
Trade Konut Yatırım A.Ş.,+90 539 423 17 72,https://www.tradekonutyatir.org.tr,Ahmet Tuncer,Çatalca,Generated Database
Industry Danışmanlık Gayrimenkul A.Ş.,+90 544 837 48 26,https://www.industrydanisma.org.tr,,Çatalca,Generated Database
Yuva Konsultant,+90 532 792 37 31,,Esra Çetin,Çatalca,Generated Database
Next Investment İnş. San. Tic. Ltd. Şti.,+90 548 799 67 54,https://www.nextinvestmenti.info.tr,Cem Bayrak,Çatalca,Generated Database
Crown Commercial Rental San. Tic. A.Ş.,+90 531 379 91 51,https://www.crowncommercial.info.tr,Ali Kara,Çatalca,Generated Database
Hill Rental İnş. San. Tic. Ltd. Şti.,+90 216 822 29 35,https://www.hillrentalinssa.info.tr,Murat Kaya,Çatalca,Generated Database
Future Crystal Geliştirme İnş. San. Tic. Ltd. Şti.,+90 543 820 46 31,https://www.futurecrystalge.com,Cem Özdemir,Çatalca,Generated Database
Millet İnşaat İnşaat Ltd. Şti.,+90 536 324 22 40,https://www.milletinsaatins.org.tr,Osman Özkan,Çatalca,Generated Database
Taksim Sağlam Sales A.Ş.,+90 542 176 79 54,https://www.taksimsaglamsal.com,,Çatalca,Generated Database
Boğaziçi Investment İnş. San. Tic. Ltd. Şti.,+90 537 833 34 93,https://www.bogaziciinvestm.com.tr,,Çatalca,Generated Database
Yeni Project Ltd. Şti.,+90 542 166 60 13,https://www.yeniprojectsti.net.tr,Dilek Çelik,Çatalca,Generated Database
Karadeniz Kiralama İnş. San. Tic. Ltd. Şti.,+90 549 800 47 74,https://www.karadenizkirala.net.tr,Erkan Koç,Çatalca,Generated Database
Anadolu Rental Ltd.,+90 212 403 73 21,https://www.anadolurental.net.tr,Erkan Bulut,Çatalca,Generated Database
Corporate Consulting Gayrimenkul A.Ş.,+90 543 491 74 40,https://www.corporateconsul.info.tr,Cem Erdoğan,Çatalca,Generated Database
Vadi Yapı San. Tic. A.Ş.,+90 539 410 36 86,https://www.vadiyapisantica.com.tr,İbrahim Yılmaz,Çatalca,Generated Database
Hearth Real Estate Yatırım A.Ş.,+90 540 253 65 38,,Gülay Yıldız,Çatalca,Generated Database
Beyoğlu Investment San. Tic. A.Ş.,+90 537 575 13 65,https://www.beyogluinvestme.net.tr,Burak Arslan,Çatalca,Generated Database
Secure Proje İnşaat Ltd. Şti.,+90 544 394 43 61,https://www.secureprojeinsa.info.tr,,Çekmeköy,Generated Database
Family Reliable Satış Yatırım A.Ş.,+90 534 693 46 40,https://www.familyreliables.com.tr,,Çekmeköy,Generated Database
Secure Yatırım San. Tic. A.Ş.,+90 536 898 94 24,,Kaan Koç,Çekmeköy,Generated Database
Platinum Investment San. Tic. A.Ş.,+90 212 662 13 25,https://www.platinuminvestm.net.tr,Filiz Kaya,Çekmeköy,Generated Database
Finest Konut Gayrimenkul A.Ş.,+90 216 583 57 35,https://www.finestkonutas.org.tr,,Çekmeköy,Generated Database
Green Gayrimenkul Gayrimenkul A.Ş.,+90 548 219 99 32,https://www.greenas.org.tr,Pınar Doğan,Çekmeköy,Generated Database
Halk Emlak A.Ş.,+90 531 813 92 13,https://www.halkas.org.tr,Hüseyin Aslan,Çekmeköy,Generated Database
Home Project A.Ş.,+90 212 542 83 56,https://www.homeprojectas.info.tr,Nevin Kara,Çekmeköy,Generated Database
Golden Horn Proje Ltd.,+90 216 763 35 63,,,Çekmeköy,Generated Database
Asia Gayrimenkul Yatırım A.Ş.,+90 537 524 99 58,,Cem Aydın,Çekmeköy,Generated Database
Yuva Konsultant Ltd.,+90 540 928 65 12,https://www.yuvakonsultant.org.tr,Can Çakır,Çekmeköy,Generated Database
Ticaret Sales Ltd.,+90 535 564 12 47,https://www.ticaretsales.org.tr,Ahmet Tuncer,Çekmeköy,Generated Database
Korporat Rental,+90 212 845 36 17,https://www.korporatrental.com,Pınar Çetin,Çekmeköy,Generated Database
Yeşil İnşaat İnş. San. Tic. Ltd. Şti.,+90 543 634 14 12,,Hüseyin Doğan,Çekmeköy,Generated Database
Elite İnşaat İnşaat Ltd. Şti.,+90 548 162 55 51,https://www.eliteinsaatinsa.com,,Çekmeköy,Generated Database
People Project A.Ş.,+90 531 337 41 62,https://www.peopleprojectas.info.tr,Kaan Aslan,Çekmeköy,Generated Database
Select Emlak,+90 541 575 80 38,,Deniz Bayrak,Çekmeköy,Generated Database
Select Sea Marketing Yatırım A.Ş.,+90 216 846 10 91,https://www.selectseamarket.com,Burak Özkan,Çekmeköy,Generated Database
Vatandaş Project Gayrimenkul A.Ş.,+90 535 186 61 92,https://www.vatandasproject.org.tr,Sevil Demir,Çekmeköy,Generated Database
Yeşil Sales Yatırım A.Ş.,+90 212 638 45 67,https://www.yesilsalesyatir.net.tr,Mustafa Korkmaz,Çekmeköy,Generated Database
Innovation Real Estate,+90 540 307 81 11,,Deniz Aksoy,Çekmeköy,Generated Database
Smart Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 979 94 81,https://www.smartyatirimins.info.tr,,Çekmeköy,Generated Database
Crystal Konut,+90 530 671 83 50,https://www.crystalkonut.com,,Çekmeköy,Generated Database
Green Gelişim Satış İnş. San. Tic. Ltd. Şti.,+90 539 814 46 26,,Ahmet Doğan,Çekmeköy,Generated Database
Korporat Rental Yatırım A.Ş.,+90 533 967 15 47,https://www.korporatrentaly.info.tr,Deniz Işık,Çekmeköy,Generated Database
Reliable Marketing,+90 541 617 76 98,https://www.reliablemarketi.org.tr,Kaan Işık,Çekmeköy,Generated Database
Marmara Yapı A.Ş.,+90 549 650 48 65,,Cem Aydın,Esenler,Generated Database
Premium Marketing Ltd.,+90 548 593 48 25,https://www.premiummarketin.com,,Esenler,Generated Database
Family Yatırım İnş. San. Tic. Ltd. Şti.,+90 533 784 96 47,https://www.familyyatirimin.com.tr,,Esenler,Generated Database
Halk Select Yapı İnşaat Ltd. Şti.,+90 216 965 10 98,,,Esenler,Generated Database
Orman Select Residence İnşaat Ltd. Şti.,+90 535 190 16 86,https://www.ormanselectresi.com,Hüseyin Arslan,Esenler,Generated Database
Golden Horn Development Yatırım A.Ş.,+90 216 564 23 37,https://www.goldenhorndevel.com,Fatih Ateş,Esenler,Generated Database
Orman Residence Yatırım A.Ş.,+90 537 578 30 28,https://www.ormanresidencey.com.tr,Emre Korkmaz,Esenler,Generated Database
Home Marketing Gayrimenkul A.Ş.,+90 539 374 44 87,https://www.homemarketingas.org.tr,,Esenler,Generated Database
Quality Trade Residence Ltd.,+90 543 511 26 68,https://www.qualitytraderes.net.tr,Onur Öztürk,Esenler,Generated Database
Güvenli Kiralama İnş. San. Tic. Ltd. Şti.,+90 543 355 12 81,https://www.guvenlikiralama.org.tr,Pınar Şahin,Esenler,Generated Database
Reliable Pazarlama İnş. San. Tic. Ltd. Şti.,+90 216 734 52 47,https://www.reliablepazarla.org.tr,Mehmet Şahin,Esenler,Generated Database
Golden Horn Proje Yatırım A.Ş.,+90 544 483 76 84,,Pınar Aksoy,Esenler,Generated Database
Merkez Trust Konsultant Ltd. Şti.,+90 534 421 85 32,,İbrahim Bulut,Esenler,Generated Database
Industry Satış İnş. San. Tic. Ltd. Şti.,+90 212 989 65 90,https://www.industrysatisin.org.tr,Efe Kaya,Esenler,Generated Database
Ticaret Solid Kiralama Gayrimenkul A.Ş.,+90 535 943 54 96,https://www.ticaretsolidkir.org.tr,İsmail Bayrak,Esenler,Generated Database
Akdeniz Gayrimenkul Ltd.,+90 216 944 13 46,,Serkan Ateş,Esenler,Generated Database
Korporat Emlak,+90 547 197 93 31,https://www.korporat.org.tr,,Esenler,Generated Database
İleriye Danışmanlık İnşaat Ltd. Şti.,+90 541 605 11 70,,Yusuf Türk,Esenler,Generated Database
Business Danışmanlık San. Tic. A.Ş.,+90 544 275 82 30,https://www.businessdanisma.net.tr,,Esenler,Generated Database
Crown Anadolu Proje Gayrimenkul A.Ş.,+90 546 245 86 12,,Filiz Koç,Esenler,Generated Database
Trust Investment Ltd. Şti.,+90 538 575 71 56,,Efe Kılıç,Esenler,Generated Database
