name,phone,website,email,email_verification,founder,district,source,email_source
Orman Konsultant Gayrimenkul A.Ş.,+90 538 555 70 79,,direktor@ormankonsultant.net.tr,BAD,Serkan Aksoy,Beylikdüzü,Generated Database,Generated
Center Geliştirme Yatırım A.Ş.,+90 535 439 65 91,,sales@centergelistirm.info.tr,BAD,Sibel Kılıç,Beylikdüzü,Generated Database,Generated
Ev Marketing Gayrimenkul A.Ş.,+90 216 719 63 99,,director@evmarketingas.com.tr,BAD,Can Çakır,Beylikdüzü,Generated Database,Generated
Altın Konut Gayrimenkul A.Ş.,+90 530 199 65 62,https://www.altinkonutas.com.tr,ist.danisan@altinkonutas.com.tr,BAD,Serpil Özkan,Beylikdüzü,Generated Database,Generated
Superior Satış İnş. San. Tic. Ltd. Şti.,+90 547 650 29 39,https://www.superiorsatisin.com.tr,service@superiorsatisin.com.tr,BAD,,Beylikdüzü,Generated Database,Generated
Innovation Kiralama Yatırım A.Ş.,+90 548 628 45 99,https://www.innovationkiral.info.tr,admin1@innovationkiral.info.tr,BAD,Merve Güven,Beylikdüzü,Generated Database,Generated
Innovation Investment Gayrimenkul A.Ş.,+90 541 519 59 29,https://www.innovationinves.net.tr,danisan@innovationinves.net.tr,BAD,Filiz Çakır,Beylikdüzü,Generated Database,Generated
Prima Emlak Ltd.,+90 537 274 51 40,,ist.genel@prima.com,BAD,Osman Kaya,Beylikdüzü,Generated Database,Generated
Our Geliştirme Gayrimenkul A.Ş.,+90 543 947 89 38,https://www.ourgelistirmeas.info.tr,servis.ist@ourgelistirmeas.info.tr,BAD,,Beylikdüzü,Generated Database,Generated
Bizim Satış Ltd.,+90 545 675 54 17,,sales@bizimsatis.org.tr,BAD,Burak Öztürk,Beylikdüzü,Generated Database,Generated
İleriye Konut Yatırım A.Ş.,+90 545 992 95 38,https://www.ileriyekonutyat.com,director@ileriyekonutyat.com,BAD,,Beylikdüzü,Generated Database,Generated
Ocak Consulting Ltd.,+90 538 336 77 35,https://www.ocakconsulting.com,contact.tr@ocakconsulting.com,BAD,Kaan Polat,Beylikdüzü,Generated Database,Generated
Lake Development A.Ş.,+90 216 571 43 63,https://www.lakedevelopment.org.tr,director@lakedevelopment.org.tr,BAD,Onur Bayrak,Beylikdüzü,Generated Database,Generated
Premium Consulting Ltd.,+90 539 887 51 13,https://www.premiumconsulti.com.tr,ist.service@premiumconsulti.com.tr,BAD,Gül Türk,Beylikdüzü,Generated Database,Generated
Digital Kiralama Yatırım A.Ş.,+90 549 480 38 56,https://www.digitalkiralama.com.tr,servis@digitalkiralama.com.tr,BAD,Cem Erdoğan,Beylikdüzü,Generated Database,Generated
Ev Project Ltd. Şti.,+90 548 480 70 98,https://www.evprojectsti.org.tr,mudur@evprojectsti.org.tr,BAD,Ahmet Bayrak,Beylikdüzü,Generated Database,Generated
Forest Pazarlama Ltd.,+90 544 214 81 26,https://www.forestpazarlama.org.tr,general.ist@forestpazarlama.org.tr,BAD,İbrahim Yıldız,Beylikdüzü,Generated Database,Generated
Prestij Emlak Yatırım A.Ş.,+90 212 545 80 29,,support@prestijyatirima.org.tr,BAD,Nilgün Çetin,Beylikdüzü,Generated Database,Generated
Our Rental,+90 216 991 46 88,,servis@ourrental.org.tr,BAD,Abdullah Türk,Beylikdüzü,Generated Database,Generated
Yuva Crystal Emlak Ltd. Şti.,+90 531 664 51 97,https://www.yuvacrystalsti.info.tr,office.tr@yuvacrystalsti.info.tr,BAD,,Beylikdüzü,Generated Database,Generated
Altın Investment Ltd. Şti.,+90 212 775 40 36,https://www.altininvestment.org.tr,satis@altininvestment.org.tr,BAD,,Beylikdüzü,Generated Database,Generated
Karadeniz Yatırım Yatırım A.Ş.,+90 535 251 27 96,https://www.karadenizyatiri.net.tr,direktor.ist@karadenizyatiri.net.tr,BAD,,Beylikdüzü,Generated Database,Generated
Trust Development A.Ş.,+90 541 902 56 92,https://www.trustdevelopmen.com,satis.tr@trustdevelopmen.com,BAD,Hüseyin Türk,Beylikdüzü,Generated Database,Generated
Deniz VIP Marketing Yatırım A.Ş.,+90 543 221 82 14,,sales@denizvipmarketi.org.tr,BAD,Mehmet Yıldız,Beylikdüzü,Generated Database,Generated
Elite Marketing San. Tic. A.Ş.,+90 531 261 20 36,https://www.elitemarketings.net.tr,director@elitemarketings.net.tr,BAD,,Beyoğlu,Generated Database,Generated
Royal Rental İnşaat Ltd. Şti.,+90 536 765 60 98,https://www.royalrentalinsa.com,genel.ist@royalrentalinsa.com,BAD,Ayşe Erdoğan,Beyoğlu,Generated Database,Generated
House Pazarlama Ltd.,+90 530 281 95 63,https://www.housepazarlama.net.tr,admin@housepazarlama.net.tr,BAD,Mustafa Kara,Beyoğlu,Generated Database,Generated
Park Geliştirme San. Tic. A.Ş.,+90 212 426 15 60,https://www.parkgelistirmes.com,iletisim@parkgelistirmes.com,BAD,Abdullah Türk,Beyoğlu,Generated Database,Generated
Boğaziçi Millet Project,+90 216 470 62 25,https://www.bogazicimilletp.org.tr,ist.iletisim@bogazicimilletp.org.tr,BAD,Deniz Çetin,Beyoğlu,Generated Database,Generated
Excellence Corporate Geliştirme Yatırım A.Ş.,+90 216 852 55 52,https://www.excellencecorpo.info.tr,customer@excellencecorpo.info.tr,BAD,Murat Bayrak,Beyoğlu,Generated Database,Generated
Industry Investment Gayrimenkul A.Ş.,+90 535 900 67 49,https://www.industryinvestm.net.tr,ist.service@industryinvestm.net.tr,BAD,Ahmet Demir,Beyoğlu,Generated Database,Generated
Karadeniz İnşaat Ltd. Şti.,+90 537 767 46 92,https://www.karadenizinsaat.com,musteri@karadenizinsaat.com,BAD,Can Doğan,Beylikdüzü,Generated Database,Generated
Park Rental Ltd. Şti.,+90 216 488 70 41,https://www.parkrentalsti.net.tr,emlak@parkrentalsti.net.tr,BAD,Hasan Yılmaz,Beyoğlu,Generated Database,Generated
Göl Proje Ltd.,+90 530 677 63 15,https://www.golproje.com,satis@golproje.com,BAD,Burak Kara,Beyoğlu,Generated Database,Generated
Yuva Project Ltd.,+90 542 870 17 18,https://www.yuvaproject.com.tr,contact@yuvaproject.com.tr,BAD,Sibel Özdemir,Beyoğlu,Generated Database,Generated
Royal Marketing İnşaat Ltd. Şti.,+90 216 445 98 98,https://www.royalmarketingi.info.tr,emlak@royalmarketingi.info.tr,BAD,Serpil Türk,Beyoğlu,Generated Database,Generated
Asia People Residence A.Ş.,+90 532 654 98 53,https://www.asiapeopleresid.com,mudur@asiapeopleresid.com,BAD,Esra Şahin,Beyoğlu,Generated Database,Generated
Gold Galata Investment,+90 535 849 28 76,,mudur@goldgalata.info.tr,BAD,Murat Bulut,Beyoğlu,Generated Database,Generated
Lake Marketing Ltd.,+90 544 497 47 64,https://www.lakemarketing.com.tr,direktor.ist@lakemarketing.com.tr,BAD,İbrahim Çetin,Beyoğlu,Generated Database,Generated
Altın Danışmanlık İnş. San. Tic. Ltd. Şti.,+90 212 962 54 38,https://www.altindanismanli.com,manager1@altindanismanli.com,BAD,Ali Şahin,Beyoğlu,Generated Database,Generated
Karadeniz Emlak Ltd. Şti.,+90 212 302 24 80,,general@karadenizsti.com.tr,BAD,Mehmet Koç,Beyoğlu,Generated Database,Generated
Tech Geliştirme İnşaat Ltd. Şti.,+90 545 146 16 73,https://www.techgelistirmei.org.tr,office@techgelistirmei.org.tr,BAD,Ahmet Güven,Beyoğlu,Generated Database,Generated
Home Prime İnşaat Ltd.,+90 548 163 36 73,https://www.homeprimeinsaat.com,sales@homeprimeinsaat.com,BAD,Can Güler,Beyoğlu,Generated Database,Generated
Forest Consulting Ltd.,+90 542 915 83 32,https://www.forestconsultin.com.tr,servis@forestconsultin.com.tr,BAD,Cem Korkmaz,Beyoğlu,Generated Database,Generated
Güvenli Satış İnşaat Ltd. Şti.,+90 541 453 65 75,https://www.guvenlisatisins.info.tr,service@guvenlisatisins.info.tr,BAD,Elif Ateş,Beyoğlu,Generated Database,Generated
Lake Valley Real Estate Ltd. Şti.,+90 216 789 70 46,https://www.lakevalleysti.com,ist.director@lakevalleysti.com,BAD,İbrahim Ateş,Beyoğlu,Generated Database,Generated
Endüstri Rental İnşaat Ltd. Şti.,+90 536 267 76 76,,director@endustrirentali.net.tr,BAD,,Beyoğlu,Generated Database,Generated
Anadolu Konsultant San. Tic. A.Ş.,+90 212 945 70 10,https://www.anadolukonsulta.org.tr,emlak1@anadolukonsulta.org.tr,BAD,Murat Özdemir,Beyoğlu,Generated Database,Generated
İleri Proje Yatırım A.Ş.,+90 542 446 97 29,https://www.ileriprojeyatir.org.tr,manager1@ileriprojeyatir.org.tr,BAD,Ömer Korkmaz,Beyoğlu,Generated Database,Generated
Solid Geliştirme A.Ş.,+90 212 759 20 59,,istanbul.mudur@solidgelistirme.com,BAD,,Beyoğlu,Generated Database,Generated
Doğru Konsultant Gayrimenkul A.Ş.,+90 216 710 76 54,https://www.dogrukonsultant.com,servis@dogrukonsultant.com,BAD,Gül Korkmaz,Beyoğlu,Generated Database,Generated
Halk Rental Ltd. Şti.,+90 537 311 57 48,,ist.support@halkrentalsti.com,BAD,Abdullah Kılıç,Beyoğlu,Generated Database,Generated
Doğru Marketing İnş. San. Tic. Ltd. Şti.,+90 534 995 59 69,https://www.dogrumarketingi.com,consultant@dogrumarketingi.com,BAD,Efe Kurt,Büyükçekmece,Generated Database,Generated
People Sales San. Tic. A.Ş.,+90 545 127 13 44,,admin@peoplesalesas.info.tr,BAD,Tülay Şahin,Büyükçekmece,Generated Database,Generated
Platinum Konut Ltd. Şti.,+90 216 895 65 55,https://www.platinumkonutst.org.tr,istanbul.manager@platinumkonutst.org.tr,BAD,Ahmet Bayrak,Beyoğlu,Generated Database,Generated
Tepe Consulting İnşaat Ltd. Şti.,+90 530 938 94 88,,sales@tepeinsaatsti.com.tr,BAD,,Büyükçekmece,Generated Database,Generated
VIP Korporat Emlak A.Ş.,+90 535 534 72 47,https://www.vipkorporatas.com.tr,istanbul.iletisim@vipkorporatas.com.tr,BAD,Yusuf Ateş,Büyükçekmece,Generated Database,Generated
Business Proje İnşaat Ltd. Şti.,+90 216 790 52 85,https://www.businessprojein.com,mudur@businessprojein.com,BAD,,Büyükçekmece,Generated Database,Generated
Garden Sea Residence Ltd.,+90 212 711 24 30,https://www.gardenseareside.org.tr,servis@gardenseareside.org.tr,BAD,Nilgün Polat,Büyükçekmece,Generated Database,Generated
Platinum Geliştirme A.Ş.,+90 536 951 83 32,,consultant@platinumgelisti.org.tr,BAD,Burak Polat,Büyükçekmece,Generated Database,Generated
Garden Gayrimenkul Gayrimenkul A.Ş.,+90 212 452 86 32,,sales@gardenas.com.tr,BAD,Hüseyin Güven,Büyükçekmece,Generated Database,Generated
Center Rental Ltd.,+90 534 691 16 90,https://www.centerrental.com.tr,destek@centerrental.com.tr,BAD,Hacer Kurt,Büyükçekmece,Generated Database,Generated
Vatandaş Yatırım Gayrimenkul A.Ş.,+90 536 417 76 43,https://www.vatandasyatirim.org.tr,ist.support@vatandasyatirim.org.tr,BAD,Pınar Güler,Büyükçekmece,Generated Database,Generated
Trust Konsultant Gayrimenkul A.Ş.,+90 530 584 90 59,,satis@trustkonsultant.net.tr,BAD,Burak Güler,Büyükçekmece,Generated Database,Generated
Çağdaş Geliştirme Yatırım A.Ş.,+90 542 560 56 11,https://www.cagdasgelistirm.info.tr,satis@cagdasgelistirm.info.tr,BAD,Erkan Bulut,Büyükçekmece,Generated Database,Generated
Göl Konsultant Yatırım A.Ş.,+90 216 825 28 43,https://www.golkonsultantya.com.tr,ofis@golkonsultantya.com.tr,BAD,İsmail Doğan,Büyükçekmece,Generated Database,Generated
Taksim Yatırım Ltd. Şti.,+90 539 667 25 44,,bilgi@taksimyatirimst.net.tr,BAD,Burcu Arslan,Büyükçekmece,Generated Database,Generated
Quality Residence,+90 544 470 84 46,,ist.gayrimenkul@qualityresidenc.org.tr,BAD,,Büyükçekmece,Generated Database,Generated
Göl Gold Konut A.Ş.,+90 530 988 95 27,https://www.golgoldkonutas.net.tr,mudur@golgoldkonutas.net.tr,BAD,İbrahim Kaya,Büyükçekmece,Generated Database,Generated
Tech Prestij Rental İnş. San. Tic. Ltd. Şti.,+90 531 993 72 44,https://www.techprestijrent.com,ofis@techprestijrent.com,BAD,Yusuf Özkan,Büyükçekmece,Generated Database,Generated
Akdeniz Residence,+90 536 788 41 96,https://www.akdenizresidenc.net.tr,istanbul.gayrimenkul@akdenizresidenc.net.tr,BAD,Emre Güven,Büyükçekmece,Generated Database,Generated
Home Kiralama San. Tic. A.Ş.,+90 531 417 25 82,,gayrimenkul1@homekiralamaas.net.tr,BAD,,Büyükçekmece,Generated Database,Generated
Yuva Sales İnşaat Ltd. Şti.,+90 530 519 33 78,https://www.yuvasalesinsaat.com.tr,satis@yuvasalesinsaat.com.tr,BAD,Hasan Bayrak,Büyükçekmece,Generated Database,Generated
Beyoğlu Pazarlama Yatırım A.Ş.,+90 534 107 96 30,https://www.beyoglupazarlam.info.tr,service.tr@beyoglupazarlam.info.tr,BAD,Cem Demir,Büyükçekmece,Generated Database,Generated
Gelişim Konsultant Gayrimenkul A.Ş.,+90 541 795 89 90,https://www.gelisimkonsulta.com,servis@gelisimkonsulta.com,BAD,,Büyükçekmece,Generated Database,Generated
Premium Reliable Konsultant İnşaat Ltd. Şti.,+90 539 596 48 49,https://www.premiumreliable.com.tr,info@premiumreliable.com.tr,BAD,Merve Polat,Büyükçekmece,Generated Database,Generated
Commercial Satış,+90 212 708 19 32,,general@commercialsatis.com,BAD,Serkan Demir,Büyükçekmece,Generated Database,Generated
Smart Satış Ltd.,+90 216 462 17 25,https://www.smartsatis.info.tr,servis.ist@smartsatis.info.tr,BAD,Hasan Demir,Büyükçekmece,Generated Database,Generated
Bosphorus Yapı San. Tic. A.Ş.,+90 530 563 59 67,https://www.bosphorusyapisa.info.tr,info@bosphorusyapisa.info.tr,BAD,,Çatalca,Generated Database,Generated
Excellence Residence Yatırım A.Ş.,+90 544 683 85 26,https://www.excellenceresid.net.tr,ofis@excellenceresid.net.tr,BAD,Ali Özkan,Çatalca,Generated Database,Generated
Anadolu Rental Gayrimenkul A.Ş.,+90 546 430 56 37,https://www.anadolurentalas.com.tr,destek1@anadolurentalas.com.tr,BAD,,Çatalca,Generated Database,Generated
Modern Consulting İnşaat Ltd. Şti.,+90 212 992 66 31,https://www.modernconsultin.com.tr,office1@modernconsultin.com.tr,BAD,Mehmet Çetin,Çatalca,Generated Database,Generated
Altın Development San. Tic. A.Ş.,+90 547 286 35 55,,service@altindevelopmen.info.tr,BAD,,Çatalca,Generated Database,Generated
Commercial Rental Yatırım A.Ş.,+90 541 339 69 31,,destek@commercialrenta.net.tr,BAD,Abdullah Ateş,Çatalca,Generated Database,Generated
Yeşil Ocak Project Ltd.,+90 549 835 52 31,https://www.yesilocakprojec.com,musteri@yesilocakprojec.com,BAD,Serap Şahin,Çatalca,Generated Database,Generated
Yeşil Yatırım Ltd.,+90 544 126 99 89,https://www.yesilyatirim.info.tr,musteri@yesilyatirim.info.tr,BAD,Sibel Kaya,Çatalca,Generated Database,Generated
Corporate Gayrimenkul İnş. San. Tic. Ltd. Şti.,+90 536 997 51 25,,bilgi@corporateinssti.com.tr,BAD,,Çatalca,Generated Database,Generated
Trade Konut Yatırım A.Ş.,+90 539 423 17 72,https://www.tradekonutyatir.org.tr,iletisim@tradekonutyatir.org.tr,BAD,Ahmet Tuncer,Çatalca,Generated Database,Generated
Industry Danışmanlık Gayrimenkul A.Ş.,+90 544 837 48 26,https://www.industrydanisma.org.tr,satis@industrydanisma.org.tr,BAD,,Çatalca,Generated Database,Generated
Yuva Konsultant,+90 532 792 37 31,,iletisim@yuvakonsultant.net.tr,BAD,Esra Çetin,Çatalca,Generated Database,Generated
Next Investment İnş. San. Tic. Ltd. Şti.,+90 548 799 67 54,https://www.nextinvestmenti.info.tr,genel@nextinvestmenti.info.tr,BAD,Cem Bayrak,Çatalca,Generated Database,Generated
Vadi Yapı Ltd.,+90 530 862 91 33,https://www.vadiyapi.org.tr,danisan@vadiyapi.org.tr,BAD,,Büyükçekmece,Generated Database,Generated
Crown Commercial Rental San. Tic. A.Ş.,+90 531 379 91 51,https://www.crowncommercial.info.tr,sales@crowncommercial.info.tr,BAD,Ali Kara,Çatalca,Generated Database,Generated
Hill Rental İnş. San. Tic. Ltd. Şti.,+90 216 822 29 35,https://www.hillrentalinssa.info.tr,direktor.tr@hillrentalinssa.info.tr,BAD,Murat Kaya,Çatalca,Generated Database,Generated
Future Crystal Geliştirme İnş. San. Tic. Ltd. Şti.,+90 543 820 46 31,https://www.futurecrystalge.com,office@futurecrystalge.com,BAD,Cem Özdemir,Çatalca,Generated Database,Generated
Millet İnşaat İnşaat Ltd. Şti.,+90 536 324 22 40,https://www.milletinsaatins.org.tr,ofis@milletinsaatins.org.tr,BAD,Osman Özkan,Çatalca,Generated Database,Generated
Taksim Sağlam Sales A.Ş.,+90 542 176 79 54,https://www.taksimsaglamsal.com,info.tr@taksimsaglamsal.com,BAD,,Çatalca,Generated Database,Generated
Boğaziçi Investment İnş. San. Tic. Ltd. Şti.,+90 537 833 34 93,https://www.bogaziciinvestm.com.tr,service.ist@bogaziciinvestm.com.tr,BAD,,Çatalca,Generated Database,Generated
Yeni Project Ltd. Şti.,+90 542 166 60 13,https://www.yeniprojectsti.net.tr,bilgi@yeniprojectsti.net.tr,BAD,Dilek Çelik,Çatalca,Generated Database,Generated
Karadeniz Kiralama İnş. San. Tic. Ltd. Şti.,+90 549 800 47 74,https://www.karadenizkirala.net.tr,office@karadenizkirala.net.tr,BAD,Erkan Koç,Çatalca,Generated Database,Generated
Corporate Consulting Gayrimenkul A.Ş.,+90 543 491 74 40,https://www.corporateconsul.info.tr,destek@corporateconsul.info.tr,BAD,Cem Erdoğan,Çatalca,Generated Database,Generated
Anadolu Rental Ltd.,+90 212 403 73 21,https://www.anadolurental.net.tr,general@anadolurental.net.tr,BAD,Erkan Bulut,Çatalca,Generated Database,Generated
Hearth Real Estate Yatırım A.Ş.,+90 540 253 65 38,,emlak@hearthyatirimas.com.tr,BAD,Gülay Yıldız,Çatalca,Generated Database,Generated
Beyoğlu Investment San. Tic. A.Ş.,+90 537 575 13 65,https://www.beyogluinvestme.net.tr,genel@beyogluinvestme.net.tr,BAD,Burak Arslan,Çatalca,Generated Database,Generated
Secure Proje İnşaat Ltd. Şti.,+90 544 394 43 61,https://www.secureprojeinsa.info.tr,director@secureprojeinsa.info.tr,BAD,,Çekmeköy,Generated Database,Generated
Family Reliable Satış Yatırım A.Ş.,+90 534 693 46 40,https://www.familyreliables.com.tr,sales.ist@familyreliables.com.tr,BAD,,Çekmeköy,Generated Database,Generated
Secure Yatırım San. Tic. A.Ş.,+90 536 898 94 24,,sales.ist@secureyatirimas.info.tr,BAD,Kaan Koç,Çekmeköy,Generated Database,Generated
Platinum Investment San. Tic. A.Ş.,+90 212 662 13 25,https://www.platinuminvestm.net.tr,istanbul.satis@platinuminvestm.net.tr,BAD,Filiz Kaya,Çekmeköy,Generated Database,Generated
Finest Konut Gayrimenkul A.Ş.,+90 216 583 57 35,https://www.finestkonutas.org.tr,servis@finestkonutas.org.tr,BAD,,Çekmeköy,Generated Database,Generated
Green Gayrimenkul Gayrimenkul A.Ş.,+90 548 219 99 32,https://www.greenas.org.tr,general@greenas.org.tr,BAD,Pınar Doğan,Çekmeköy,Generated Database,Generated
Halk Emlak A.Ş.,+90 531 813 92 13,https://www.halkas.org.tr,direktor1@halkas.org.tr,BAD,Hüseyin Aslan,Çekmeköy,Generated Database,Generated
Home Project A.Ş.,+90 212 542 83 56,https://www.homeprojectas.info.tr,istanbul.support@homeprojectas.info.tr,BAD,Nevin Kara,Çekmeköy,Generated Database,Generated
Golden Horn Proje Ltd.,+90 216 763 35 63,,destek@goldenhornproje.com,BAD,,Çekmeköy,Generated Database,Generated
Asia Gayrimenkul Yatırım A.Ş.,+90 537 524 99 58,,consultant@asiayatirimas.net.tr,BAD,Cem Aydın,Çekmeköy,Generated Database,Generated
Yuva Konsultant Ltd.,+90 540 928 65 12,https://www.yuvakonsultant.org.tr,genel@yuvakonsultant.org.tr,BAD,Can Çakır,Çekmeköy,Generated Database,Generated
Ticaret Sales Ltd.,+90 535 564 12 47,https://www.ticaretsales.org.tr,istanbul.genel@ticaretsales.org.tr,BAD,Ahmet Tuncer,Çekmeköy,Generated Database,Generated
Korporat Rental,+90 212 845 36 17,https://www.korporatrental.com,musteri@korporatrental.com,BAD,Pınar Çetin,Çekmeköy,Generated Database,Generated
Yeşil İnşaat İnş. San. Tic. Ltd. Şti.,+90 543 634 14 12,,director@yesilinsaatinss.net.tr,BAD,Hüseyin Doğan,Çekmeköy,Generated Database,Generated
Elite İnşaat İnşaat Ltd. Şti.,+90 548 162 55 51,https://www.eliteinsaatinsa.com,iletisim.ist@eliteinsaatinsa.com,BAD,,Çekmeköy,Generated Database,Generated
People Project A.Ş.,+90 531 337 41 62,https://www.peopleprojectas.info.tr,customer@peopleprojectas.info.tr,BAD,Kaan Aslan,Çekmeköy,Generated Database,Generated
Select Emlak,+90 541 575 80 38,,info.ist@select.com.tr,BAD,Deniz Bayrak,Çekmeköy,Generated Database,Generated
Select Sea Marketing Yatırım A.Ş.,+90 216 846 10 91,https://www.selectseamarket.com,musteri@selectseamarket.com,BAD,Burak Özkan,Çekmeköy,Generated Database,Generated
Vatandaş Project Gayrimenkul A.Ş.,+90 535 186 61 92,https://www.vatandasproject.org.tr,ofis@vatandasproject.org.tr,BAD,Sevil Demir,Çekmeköy,Generated Database,Generated
Vadi Yapı San. Tic. A.Ş.,+90 539 410 36 86,https://www.vadiyapisantica.com.tr,istanbul.manager@vadiyapisantica.com.tr,BAD,İbrahim Yılmaz,Çatalca,Generated Database,Generated
Innovation Real Estate,+90 540 307 81 11,,office.ist@innovation.org.tr,BAD,Deniz Aksoy,Çekmeköy,Generated Database,Generated
Smart Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 979 94 81,https://www.smartyatirimins.info.tr,istanbul.general@smartyatirimins.info.tr,BAD,,Çekmeköy,Generated Database,Generated
Crystal Konut,+90 530 671 83 50,https://www.crystalkonut.com,iletisim.tr@crystalkonut.com,BAD,,Çekmeköy,Generated Database,Generated
Green Gelişim Satış İnş. San. Tic. Ltd. Şti.,+90 539 814 46 26,,consultant.tr@greengelisimsat.com,BAD,Ahmet Doğan,Çekmeköy,Generated Database,Generated
Korporat Rental Yatırım A.Ş.,+90 533 967 15 47,https://www.korporatrentaly.info.tr,ist.support@korporatrentaly.info.tr,BAD,Deniz Işık,Çekmeköy,Generated Database,Generated
Reliable Marketing,+90 541 617 76 98,https://www.reliablemarketi.org.tr,servis@reliablemarketi.org.tr,BAD,Kaan Işık,Çekmeköy,Generated Database,Generated
Marmara Yapı A.Ş.,+90 549 650 48 65,,iletisim1@marmarayapias.org.tr,BAD,Cem Aydın,Esenler,Generated Database,Generated
Premium Marketing Ltd.,+90 548 593 48 25,https://www.premiummarketin.com,satis.tr@premiummarketin.com,BAD,,Esenler,Generated Database,Generated
Family Yatırım İnş. San. Tic. Ltd. Şti.,+90 533 784 96 47,https://www.familyyatirimin.com.tr,director1@familyyatirimin.com.tr,BAD,,Esenler,Generated Database,Generated
Halk Select Yapı İnşaat Ltd. Şti.,+90 216 965 10 98,,satis@halkselectyapii.com.tr,BAD,,Esenler,Generated Database,Generated
Orman Select Residence İnşaat Ltd. Şti.,+90 535 190 16 86,https://www.ormanselectresi.com,ist.info@ormanselectresi.com,BAD,Hüseyin Arslan,Esenler,Generated Database,Generated
Golden Horn Development Yatırım A.Ş.,+90 216 564 23 37,https://www.goldenhorndevel.com,info@goldenhorndevel.com,BAD,Fatih Ateş,Esenler,Generated Database,Generated
Yeşil Sales Yatırım A.Ş.,+90 212 638 45 67,https://www.yesilsalesyatir.net.tr,director@yesilsalesyatir.net.tr,BAD,Mustafa Korkmaz,Çekmeköy,Generated Database,Generated
Home Marketing Gayrimenkul A.Ş.,+90 539 374 44 87,https://www.homemarketingas.org.tr,istanbul.support@homemarketingas.org.tr,BAD,,Esenler,Generated Database,Generated
Quality Trade Residence Ltd.,+90 543 511 26 68,https://www.qualitytraderes.net.tr,mudur@qualitytraderes.net.tr,BAD,Onur Öztürk,Esenler,Generated Database,Generated
Güvenli Kiralama İnş. San. Tic. Ltd. Şti.,+90 543 355 12 81,https://www.guvenlikiralama.org.tr,admin@guvenlikiralama.org.tr,BAD,Pınar Şahin,Esenler,Generated Database,Generated
Reliable Pazarlama İnş. San. Tic. Ltd. Şti.,+90 216 734 52 47,https://www.reliablepazarla.org.tr,support@reliablepazarla.org.tr,BAD,Mehmet Şahin,Esenler,Generated Database,Generated
Golden Horn Proje Yatırım A.Ş.,+90 544 483 76 84,,satis.tr@goldenhornproje.org.tr,BAD,Pınar Aksoy,Esenler,Generated Database,Generated
Merkez Trust Konsultant Ltd. Şti.,+90 534 421 85 32,,support@merkeztrustkons.org.tr,BAD,İbrahim Bulut,Esenler,Generated Database,Generated
Industry Satış İnş. San. Tic. Ltd. Şti.,+90 212 989 65 90,https://www.industrysatisin.org.tr,consultant@industrysatisin.org.tr,BAD,Efe Kaya,Esenler,Generated Database,Generated
Ticaret Solid Kiralama Gayrimenkul A.Ş.,+90 535 943 54 96,https://www.ticaretsolidkir.org.tr,servis@ticaretsolidkir.org.tr,BAD,İsmail Bayrak,Esenler,Generated Database,Generated
Akdeniz Gayrimenkul Ltd.,+90 216 944 13 46,,bilgi@akdeniz.com.tr,BAD,Serkan Ateş,Esenler,Generated Database,Generated
Korporat Emlak,+90 547 197 93 31,https://www.korporat.org.tr,mudur@korporat.org.tr,BAD,,Esenler,Generated Database,Generated
İleriye Danışmanlık İnşaat Ltd. Şti.,+90 541 605 11 70,,destek@ileriyedanisman.com.tr,BAD,Yusuf Türk,Esenler,Generated Database,Generated
Orman Residence Yatırım A.Ş.,+90 537 578 30 28,https://www.ormanresidencey.com.tr,admin@ormanresidencey.com.tr,BAD,Emre Korkmaz,Esenler,Generated Database,Generated
Crown Anadolu Proje Gayrimenkul A.Ş.,+90 546 245 86 12,,general@crownanadolupro.com,BAD,Filiz Koç,Esenler,Generated Database,Generated
Trust Investment Ltd. Şti.,+90 538 575 71 56,,info@truststi.net.tr,BAD,Efe Kılıç,Esenler,Generated Database,Generated
Business Danışmanlık San. Tic. A.Ş.,+90 544 275 82 30,https://www.businessdanisma.net.tr,contact@businessdanisma.net.tr,BAD,,Esenler,Generated Database,Generated
Halk Danışmanlık Ltd.,+90 216 829 70 98,,destek@halkdanismanlik.org.tr,BAD,Elif Türk,Esenler,Generated Database,Generated
Safe Danışmanlık İnşaat Ltd. Şti.,+90 216 475 45 59,https://www.safedanismanlik.com.tr,admin@safedanismanlik.com.tr,BAD,Serpil Öztürk,Esenler,Generated Database,Generated
Çağdaş Business Residence San. Tic. A.Ş.,+90 544 252 58 30,,sales@cagdasbusinessr.com.tr,BAD,Kaan Özkan,Esenler,Generated Database,Generated
İleriye İnşaat Gayrimenkul A.Ş.,+90 537 978 77 42,https://www.ileriyeinsaatas.org.tr,direktor@ileriyeinsaatas.org.tr,BAD,Fatih Ateş,Esenler,Generated Database,Generated
Beyoğlu Konut Yatırım A.Ş.,+90 537 620 53 65,,mudur@beyoglukonutyat.net.tr,BAD,Murat Yıldız,Esenyurt,Generated Database,Generated
Family Proje San. Tic. A.Ş.,+90 216 906 32 29,https://www.familyprojesant.com.tr,general1@familyprojesant.com.tr,BAD,,Esenyurt,Generated Database,Generated
Yeni Yatırım İnş. San. Tic. Ltd. Şti.,+90 216 666 49 24,https://www.yeniyatiriminss.org.tr,genel@yeniyatiriminss.org.tr,BAD,,Esenler,Generated Database,Generated
